id,date,user_id,user_username,user_displayname,replycount,retweetcount,likecount,quotecount,viewcount,searched_keyword,cleaned_text,hashtag_text,year,month_year,sentiment
1618244414383722499,2023-01-25 13:48:28+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,89,262,841,14,8828,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Today is January 24th, 2023 and Trump still my President!! Who's with me?",,2023,2023-01,0
1642511104126353413,2023-04-02 12:55:38+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,120,395,1705,28,44686,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Today is April 2nd, 2023 and Donald Trump still my President",,2023,2023-04,0
1645402101957394432,2023-04-10 12:23:25+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,30,110,422,3,6640,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Today is April 10th, 2023 and Trump still my President!!",,2023,2023-04,0
1646323477971103744,2023-04-13 01:24:39+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,34,90,388,9,5388,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,Whos ready for this beautiful couple to be back in the White House?,TRUMP2024ToSaveAmerica,2023,2023-04,1
1648285762314711040,2023-04-18 11:22:04+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,65,164,687,8,14241,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Today is April 18th, 2023 and Trump still my President!!",,2023,2023-04,0
1679815741661655046,2023-07-14 11:30:56+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,168,278,978,19,20229,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Today is July 14th,2023 and Trump still my President!! Who's with me?",,2023,2023-07,0
1706652806667743703,2023-09-26 12:51:51+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,161,219,766,11,8250,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Today is September 26th, 2023 and Trump still my President!! Who's with me?",,2023,2023-09,0
1717720711974838423,2023-10-27 01:51:46+00:00,450235955,4Mischief,ISI,53,302,645,14,15911,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"One more year of this ridiculous administration, then President Trump returns on Monday, January 20, 2025 with a vengeance and will steamroll anyone who gets in the way of Making America Great Again and putting the world at peace",Trump2024,2023,2023-10,0
1739602992029151478,2023-12-26 11:04:08+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,1366,555,3793,59,46803,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Today is December 26th, and Donald Trump still My President! Who's with me?",Trump2024,2023,2023-12,0
1747309271350710383,2024-01-16 17:26:08+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,3484,1027,9421,182,117619,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"President Donald Trump will get your vote on November 5, 2O24? Yes or No",,2024,2024-01,2
1747940908840956114,2024-01-18 11:16:02+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,924,868,4241,32,42782,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Today is January 14th, and Donald Trump still My President!! Who's with me?",,2024,2024-01,0
1749486849834295712,2024-01-22 17:39:03+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,779,400,2942,44,38379,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,Drop a if youre committed to ensuring Donald Trump is reinaugurated one year from today!!,,2024,2024-01,0
1749959082188926994,2024-01-24 00:55:32+00:00,885799904,ColorApril,April Color,7,109,185,0,4692,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"TRUMP, TRUMP, TRUMP realDonaldTrump O say can you see, by the dawns early light, What so proudly we haild at the twilights last gleaming, Whose broad stripes and bright stars through the perilous fight Lets Go",Trump2024TheOnlyChoice,2024,2024-01,1
1752708525208588342,2024-01-31 15:00:50+00:00,1537291933495615488,TheThe1776,,28,191,398,3,7568,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Trump has accomplished so much for the good of this country in his four years as President, but is another reason why Americans love him.","TrumpIsThePeoplesPresident, Trump2024ToTakeBackAmerica",2024,2024-01,1
1776975735023919180,2024-04-07 14:10:04+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,2136,485,3893,75,46769,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Will YOU join me and vote for President Donald Trump on November 5th, 2024? YES or NO",,2024,2024-04,1
1779209183948112276,2024-04-13 18:05:00+00:00,450235955,4Mischief,ISI,50,265,643,5,19983,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Dark days are coming for liberal democrats when President Trump is inaugurated on Monday January 20, 2025",MAGAeclipse,2024,2024-04,0
1779840926250311900,2024-04-15 11:55:19+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,2805,812,7095,103,99792,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"President Donald Trump will get your vote on November 5, 2O24? Yes or No",,2024,2024-04,2
1787998629481087070,2024-05-08 00:11:07+00:00,2468708726,G1rly_Tattooed,Trin1ty,42,316,665,7,12370,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"All day every day, 182 days to make it official!",Trump2024,2024,2024-05,1
1795630890993008956,2024-05-29 01:39:00+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,1523,835,6147,83,80433,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,Donald Trump will be 45 47 President of the United States! Drop a if you agree!!,,2024,2024-05,1
1801609634169438304,2024-06-14 13:36:23+00:00,1142736007567069184,SUBRATA30016572,Trump Lover,2001,1008,6338,89,55911,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,Drop a to spread the message! President Trump will be reelected Nov. 5Th in a landslide!.,,2024,2024-06,1
